ident,date,value,bankname,region
113830,18830,6566289419,Deutsche Bank AG,eins
113830,18837,6559680739,Deutsche Bank AG,eins
113830,18844,6557927650,Deutsche Bank AG,eins
113830,18851,6546900180,Deutsche Bank AG,eins
113830,18858,6564497835,Deutsche Bank AG,eins
113830,18865,6665177355,Deutsche Bank AG,eins
113830,18872,6729508995,Deutsche Bank AG,eins
113830,18879,6724526601,Deutsche Bank AG,eins
113830,18886,6725990260,Deutsche Bank AG,eins
113830,18893,6776753925,Deutsche Bank AG,eins
113830,18900,6844547886,Deutsche Bank AG,eins
113830,18907,7061277347,Deutsche Bank AG,eins
113830,18914,7021551569,Deutsche Bank AG,eins
113830,18921,7032881753,Deutsche Bank AG,eins
113830,18928,7033513587,Deutsche Bank AG,eins
113830,18935,7030729354,Deutsche Bank AG,eins
113830,18942,7030104667,Deutsche Bank AG,eins
113830,18949,7030201158,Deutsche Bank AG,eins
113830,18956,7057420256,Deutsche Bank AG,eins
113830,18963,7053455536,Deutsche Bank AG,eins
113830,18970,7079576853,Deutsche Bank AG,eins
113830,18977,7093943265,Deutsche Bank AG,eins
113830,18984,7497771575,Deutsche Bank AG,eins
113830,18991,7505551312,Deutsche Bank AG,eins
113830,18998,7513081240,Deutsche Bank AG,eins
113830,19005,7510972740,Deutsche Bank AG,eins
113830,19012,7508310535,Deutsche Bank AG,eins
113830,19019,7515531310,Deutsche Bank AG,eins
113830,19026,7518644530,Deutsche Bank AG,eins
113830,19033,7529483430,Deutsche Bank AG,eins
113830,19040,8373416565,Deutsche Bank AG,eins
113830,19047,8540096480,Deutsche Bank AG,eins
113830,19054,8713121260,Deutsche Bank AG,eins
113830,19061,8710998696,Deutsche Bank AG,eins
113830,19068,8705804076,Deutsche Bank AG,eins
113830,19075,8754884062,Deutsche Bank AG,eins
113830,19082,8742169413,Deutsche Bank AG,eins
113830,19089,8692929639,Deutsche Bank AG,eins
113830,19096,8702576842,Deutsche Bank AG,eins
113830,19103,8704941138,Deutsche Bank AG,eins
113830,19110,8703597757,Deutsche Bank AG,eins
113830,19117,8702105128,Deutsche Bank AG,eins
113830,19124,8760716474,Deutsche Bank AG,eins
113830,19131,8911446591,Deutsche Bank AG,eins
113830,19138,8904396535,Deutsche Bank AG,eins
113830,19145,8903677891,Deutsche Bank AG,eins
113830,19152,8950355649,Deutsche Bank AG,eins
113830,19159,8951988365,Deutsche Bank AG,eins
113830,19166,9327007345,Deutsche Bank AG,eins
113830,19173,9417463734,Deutsche Bank AG,eins
113830,19180,9406432265,Deutsche Bank AG,eins
113830,19187,9407712027,Deutsche Bank AG,eins
113830,19194,9408326343,Deutsche Bank AG,eins
113830,19201,9409450100,Deutsche Bank AG,eins
113830,19208,9491778023,Deutsche Bank AG,eins
113830,19215,9493408651,Deutsche Bank AG,eins
113830,19222,9565291566,Deutsche Bank AG,eins
113830,19229,9567933426,Deutsche Bank AG,eins
113830,19236,9869121093,Deutsche Bank AG,eins
113830,19243,9879996368,Deutsche Bank AG,eins
113830,19250,9880585919,Deutsche Bank AG,eins
113830,19257,9840385006,Deutsche Bank AG,eins
113830,19264,9812916860,Deutsche Bank AG,eins
113830,19271,9844961283,Deutsche Bank AG,eins
113830,19278,9844424271,Deutsche Bank AG,eins
113830,19285,9842036580,Deutsche Bank AG,eins
113830,19292,9838948009,Deutsche Bank AG,eins
113830,19299,9837815353,Deutsche Bank AG,eins
113830,19306,9831614755,Deutsche Bank AG,eins
113830,19313,9829837956,Deutsche Bank AG,eins
113830,19320,9830293531,Deutsche Bank AG,eins
113830,19327,9833166663,Deutsche Bank AG,eins
113830,19334,9807657033,Deutsche Bank AG,eins
113830,19341,9803159658,Deutsche Bank AG,eins
113830,19348,9807707760,Deutsche Bank AG,eins
113830,19355,9808147094,Deutsche Bank AG,eins
113830,19362,9796022377,Deutsche Bank AG,eins
113830,19369,9798457571,Deutsche Bank AG,eins
113830,19376,9782357451,Deutsche Bank AG,eins
113830,19383,9783958326,Deutsche Bank AG,eins
113830,19390,9791198474,Deutsche Bank AG,eins
113830,19397,9778621665,Deutsche Bank AG,eins
113830,19404,9725796378,Deutsche Bank AG,eins
113830,19411,9724220273,Deutsche Bank AG,eins
113830,19418,9736577326,Deutsche Bank AG,eins
113830,19425,9738521004,Deutsche Bank AG,eins
113830,19432,9761758058,Deutsche Bank AG,eins
113830,19439,9760998623,Deutsche Bank AG,eins
113830,19446,9690898350,Deutsche Bank AG,eins
113830,19453,9682556373,Deutsche Bank AG,eins
113830,19460,9695863231,Deutsche Bank AG,eins
113830,19467,9696235618,Deutsche Bank AG,eins
