snlid,date,bankname,country,sifi,share,share_rwa
4145030,20-01-2012,OTP Bank Ltd,HU,,9.9439716,10.45323
4145030,27-01-2012,OTP Bank Ltd,HU,,9.9500284,10.459598
4145030,03-02-2012,OTP Bank Ltd,HU,,9.9529181,10.462634
4145030,10-02-2012,OTP Bank Ltd,HU,,9.9509182,10.460532
4145030,17-02-2012,OTP Bank Ltd,HU,,9.9533939,10.463134
4145030,24-02-2012,OTP Bank Ltd,HU,,9.9532175,10.462949
4145030,02-03-2012,OTP Bank Ltd,HU,,9.9532824,10.463018
4145030,09-03-2012,OTP Bank Ltd,HU,,9.9524097,10.4621
4145030,16-03-2012,OTP Bank Ltd,HU,,9.9527521,10.462461
4145030,23-03-2012,OTP Bank Ltd,HU,,9.9511843,10.460813
4145030,30-03-2012,OTP Bank Ltd,HU,,9.9497452,10.459299
4145030,06-04-2012,OTP Bank Ltd,HU,,10.075044,10.744235
4145030,13-04-2012,OTP Bank Ltd,HU,,10.073205,10.742274
4145030,20-04-2012,OTP Bank Ltd,HU,,10.073813,10.742922
4145030,27-04-2012,OTP Bank Ltd,HU,,10.080434,10.749982
4145030,04-05-2012,OTP Bank Ltd,HU,,10.08177,10.751408
4145030,11-05-2012,OTP Bank Ltd,HU,,10.07947,10.748955
4145030,18-05-2012,OTP Bank Ltd,HU,,10.07271,10.741746
4145030,25-05-2012,OTP Bank Ltd,HU,,10.071566,10.740526
4145030,01-06-2012,OTP Bank Ltd,HU,,10.067567,10.736262
4145030,08-06-2012,OTP Bank Ltd,HU,,10.07415,10.743282
4145030,15-06-2012,OTP Bank Ltd,HU,,10.075294,10.744502
4145030,22-06-2012,OTP Bank Ltd,HU,,10.080132,10.74966
4145030,29-06-2012,OTP Bank Ltd,HU,,10.081431,10.751047
4145030,06-07-2012,OTP Bank Ltd,HU,,10.259324,10.940145
4145030,13-07-2012,OTP Bank Ltd,HU,,10.260514,10.941413
4145030,20-07-2012,OTP Bank Ltd,HU,,10.26167,10.942647
4145030,27-07-2012,OTP Bank Ltd,HU,,10.265778,10.947026
4145030,03-08-2012,OTP Bank Ltd,HU,,10.268406,10.949828
4145030,10-08-2012,OTP Bank Ltd,HU,,10.268367,10.949787
4145030,17-08-2012,OTP Bank Ltd,HU,,10.267902,10.949291
4145030,24-08-2012,OTP Bank Ltd,HU,,10.268383,10.949804
4145030,31-08-2012,OTP Bank Ltd,HU,,10.263128,10.944201
4145030,07-09-2012,OTP Bank Ltd,HU,,10.263143,10.944216
4145030,14-09-2012,OTP Bank Ltd,HU,,10.264329,10.94548
4145030,21-09-2012,OTP Bank Ltd,HU,,10.264943,10.946136
4145030,28-09-2012,OTP Bank Ltd,HU,,10.262571,10.943606
4145030,05-10-2012,OTP Bank Ltd,HU,,9.9876289,11.455778
4145030,12-10-2012,OTP Bank Ltd,HU,,9.989603,11.458042
4145030,19-10-2012,OTP Bank Ltd,HU,,9.9901419,11.45866
4145030,26-10-2012,OTP Bank Ltd,HU,,9.988081,11.456296
4145030,02-11-2012,OTP Bank Ltd,HU,,9.9885483,11.456833
4145030,09-11-2012,OTP Bank Ltd,HU,,9.9873209,11.455424
4145030,16-11-2012,OTP Bank Ltd,HU,,9.9865341,11.454522
4145030,23-11-2012,OTP Bank Ltd,HU,,9.9895515,11.457983
4145030,30-11-2012,OTP Bank Ltd,HU,,9.9888277,11.457153
4145030,07-12-2012,OTP Bank Ltd,HU,,9.9871283,11.455204
4145030,14-12-2012,OTP Bank Ltd,HU,,9.9869194,11.454964
4145030,21-12-2012,OTP Bank Ltd,HU,,9.9827375,11.450167
4145030,28-12-2012,OTP Bank Ltd,HU,,9.9818335,11.449131
4145030,04-01-2013,OTP Bank Ltd,HU,,9.5535383,11.177817
4145030,11-01-2013,OTP Bank Ltd,HU,,9.5506506,11.174438
4145030,18-01-2013,OTP Bank Ltd,HU,,9.5523338,11.176408
4145030,25-01-2013,OTP Bank Ltd,HU,,9.5494967,11.17309
4145030,01-02-2013,OTP Bank Ltd,HU,,9.5534763,11.177746
4145030,08-02-2013,OTP Bank Ltd,HU,,9.5538797,11.178217
4145030,15-02-2013,OTP Bank Ltd,HU,,9.5533123,11.177554
4145030,22-02-2013,OTP Bank Ltd,HU,,9.5519943,11.176012
4145030,01-03-2013,OTP Bank Ltd,HU,,9.5514994,11.175432
4145030,08-03-2013,OTP Bank Ltd,HU,,9.5486813,11.172135
4145030,15-03-2013,OTP Bank Ltd,HU,,9.5450506,11.167887
4145030,22-03-2013,OTP Bank Ltd,HU,,9.5440569,11.166724
4145030,29-03-2013,OTP Bank Ltd,HU,,9.5453863,11.16828
4145030,05-04-2013,OTP Bank Ltd,HU,,10.064112,11.592541
4145030,12-04-2013,OTP Bank Ltd,HU,,10.067383,11.596308
4145030,19-04-2013,OTP Bank Ltd,HU,,10.065269,11.593873
4145030,26-04-2013,OTP Bank Ltd,HU,,10.063162,11.591446
4145030,03-05-2013,OTP Bank Ltd,HU,,10.066784,11.595617
4145030,10-05-2013,OTP Bank Ltd,HU,,10.068331,11.5974
4145030,17-05-2013,OTP Bank Ltd,HU,,10.070595,11.600008
4145030,24-05-2013,OTP Bank Ltd,HU,,10.071826,11.601426
4145030,31-05-2013,OTP Bank Ltd,HU,,10.06683,11.595672
4145030,07-06-2013,OTP Bank Ltd,HU,,10.067756,11.596738
4145030,14-06-2013,OTP Bank Ltd,HU,,10.071008,11.600484
4145030,21-06-2013,OTP Bank Ltd,HU,,10.064404,11.592877
4145030,28-06-2013,OTP Bank Ltd,HU,,10.068037,11.597061
4145030,05-07-2013,OTP Bank Ltd,HU,,10.051361,11.634907
4145030,12-07-2013,OTP Bank Ltd,HU,,10.053742,11.637665
4145030,19-07-2013,OTP Bank Ltd,HU,,10.051475,11.635038
4145030,26-07-2013,OTP Bank Ltd,HU,,10.049937,11.633259
4145030,02-08-2013,OTP Bank Ltd,HU,,10.049783,11.63308
4145030,09-08-2013,OTP Bank Ltd,HU,,10.050467,11.633872
4145030,16-08-2013,OTP Bank Ltd,HU,,10.048956,11.632123
4145030,23-08-2013,OTP Bank Ltd,HU,,10.049961,11.633286
4145030,30-08-2013,OTP Bank Ltd,HU,,10.047486,11.630422
4145030,06-09-2013,OTP Bank Ltd,HU,,10.04845,11.631538
4145030,13-09-2013,OTP Bank Ltd,HU,,10.048174,11.631218
4145030,20-09-2013,OTP Bank Ltd,HU,,10.049513,11.632768
4145030,27-09-2013,OTP Bank Ltd,HU,,10.049631,11.632904
4145030,04-10-2013,OTP Bank Ltd,HU,,9.6711607,11.846544
4145030,11-10-2013,OTP Bank Ltd,HU,,9.6721087,11.847706
4145030,18-10-2013,OTP Bank Ltd,HU,,9.6732073,11.849051
4145030,25-10-2013,OTP Bank Ltd,HU,,9.6738634,11.849854
4145030,01-11-2013,OTP Bank Ltd,HU,,9.6707706,11.846067
4145030,08-11-2013,OTP Bank Ltd,HU,,9.6710453,11.846403
4145030,15-11-2013,OTP Bank Ltd,HU,,9.6702023,11.84537
4145030,22-11-2013,OTP Bank Ltd,HU,,9.6699867,11.845107
4145030,29-11-2013,OTP Bank Ltd,HU,,9.6682835,11.843019
4145030,06-12-2013,OTP Bank Ltd,HU,,9.6684141,11.84318
4145030,13-12-2013,OTP Bank Ltd,HU,,9.6679058,11.842557
4145030,20-12-2013,OTP Bank Ltd,HU,,9.6699686,11.845083
4145030,27-12-2013,OTP Bank Ltd,HU,,9.4812555,11.613923
4145030,03-01-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,10-01-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,17-01-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,24-01-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,31-01-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,07-02-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,14-02-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,21-02-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,28-02-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,07-03-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,14-03-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,21-03-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,28-03-2014,OTP Bank Ltd,HU,,9.6692171,12.29318
4145030,04-04-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,11-04-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,18-04-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,25-04-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,02-05-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,09-05-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,16-05-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,23-05-2014,OTP Bank Ltd,HU,,9.2920027,11.912794
4145030,30-05-2014,OTP Bank Ltd,HU,,9.4635191,12.132687
4145030,06-06-2014,OTP Bank Ltd,HU,,9.4639645,12.133257
4145030,13-06-2014,OTP Bank Ltd,HU,,9.4650011,12.134587
4145030,20-06-2014,OTP Bank Ltd,HU,,9.462883,12.13187
4145030,27-06-2014,OTP Bank Ltd,HU,,9.4643116,12.133702
4145030,04-07-2014,OTP Bank Ltd,HU,,8.866519,12.254991
4145030,11-07-2014,OTP Bank Ltd,HU,,8.8669872,12.255639
4145030,18-07-2014,OTP Bank Ltd,HU,,8.8690128,12.258438
4145030,25-07-2014,OTP Bank Ltd,HU,,8.8661995,12.254549
4145030,01-08-2014,OTP Bank Ltd,HU,,8.8608007,12.247087
4145030,08-08-2014,OTP Bank Ltd,HU,,8.8581638,12.243443
4145030,15-08-2014,OTP Bank Ltd,HU,,8.851778,12.234616
4145030,22-08-2014,OTP Bank Ltd,HU,,8.8487911,12.230489
4145030,29-08-2014,OTP Bank Ltd,HU,,8.8532877,12.236702
4145030,05-09-2014,OTP Bank Ltd,HU,,8.8604641,12.246623
4145030,12-09-2014,OTP Bank Ltd,HU,,8.8585844,12.244024
4145030,19-09-2014,OTP Bank Ltd,HU,,8.844408,12.224431
4145030,26-09-2014,OTP Bank Ltd,HU,,8.8624554,12.249374
4145030,03-10-2014,OTP Bank Ltd,HU,,8.8244553,12.487607
4145030,10-10-2014,OTP Bank Ltd,HU,,8.8230133,12.485567
4145030,17-10-2014,OTP Bank Ltd,HU,,8.8218718,12.483952
4145030,24-10-2014,OTP Bank Ltd,HU,,8.8218813,12.483965
4145030,31-10-2014,OTP Bank Ltd,HU,,8.823617,12.486421
4145030,07-11-2014,OTP Bank Ltd,HU,,8.8083811,12.464861
4145030,14-11-2014,OTP Bank Ltd,HU,,8.7983961,12.450731
4145030,21-11-2014,OTP Bank Ltd,HU,,8.802,12.455831
4145030,28-11-2014,OTP Bank Ltd,HU,,8.8030529,12.457319
4145030,05-12-2014,OTP Bank Ltd,HU,,8.8009319,12.45432
4145030,12-12-2014,OTP Bank Ltd,HU,,8.796628,12.448228
4145030,19-12-2014,OTP Bank Ltd,HU,,8.798255,12.450531
4145030,26-12-2014,OTP Bank Ltd,HU,,8.799264,12.451959
4145030,02-01-2015,OTP Bank Ltd,HU,,8.9751835,12.390756
4145030,09-01-2015,OTP Bank Ltd,HU,,8.977643,12.394151
4145030,16-01-2015,OTP Bank Ltd,HU,,8.9813185,12.399224
4145030,23-01-2015,OTP Bank Ltd,HU,,8.9845467,12.403682
4145030,30-01-2015,OTP Bank Ltd,HU,,8.9807768,12.398477
4145030,06-02-2015,OTP Bank Ltd,HU,,8.9288597,12.326802
4145030,13-02-2015,OTP Bank Ltd,HU,,8.9254227,12.322057
4145030,20-02-2015,OTP Bank Ltd,HU,,8.9196796,12.314129
4145030,27-02-2015,OTP Bank Ltd,HU,,8.9230995,12.31885
4145030,06-03-2015,OTP Bank Ltd,HU,,7.9582782,10.986858
4145030,13-03-2015,OTP Bank Ltd,HU,,7.9706841,11.003985
4145030,20-03-2015,OTP Bank Ltd,HU,,7.9600306,10.989278
4145030,27-03-2015,OTP Bank Ltd,HU,,7.9582238,10.986783
4145030,03-04-2015,OTP Bank Ltd,HU,,7.972508,11.031363
4145030,10-04-2015,OTP Bank Ltd,HU,,7.9743304,11.033886
4145030,17-04-2015,OTP Bank Ltd,HU,,7.9850802,11.04876
4145030,24-04-2015,OTP Bank Ltd,HU,,7.9740324,11.033473
4145030,01-05-2015,OTP Bank Ltd,HU,,7.9788475,11.040136
4145030,08-05-2015,OTP Bank Ltd,HU,,7.9829803,11.045856
4145030,15-05-2015,OTP Bank Ltd,HU,,7.9785533,11.039729
4145030,22-05-2015,OTP Bank Ltd,HU,,7.9835453,11.046637
4145030,29-05-2015,OTP Bank Ltd,HU,,7.9825268,11.045227
4145030,05-06-2015,OTP Bank Ltd,HU,,7.9810553,11.043191
4145030,12-06-2015,OTP Bank Ltd,HU,,7.9794416,11.040958
4145030,19-06-2015,OTP Bank Ltd,HU,,7.975544,11.035566
4145030,26-06-2015,OTP Bank Ltd,HU,,7.98101,11.043128
4145030,03-07-2015,OTP Bank Ltd,HU,,8.0126305,11.423116
4145030,10-07-2015,OTP Bank Ltd,HU,,8.0078259,11.416266
4145030,17-07-2015,OTP Bank Ltd,HU,,8.0102434,11.419714
4145030,24-07-2015,OTP Bank Ltd,HU,,8.0096149,11.418818
4145030,31-07-2015,OTP Bank Ltd,HU,,8.0127649,11.423309
4145030,07-08-2015,OTP Bank Ltd,HU,,8.0144215,11.42567
4145030,14-08-2015,OTP Bank Ltd,HU,,8.0084276,11.417125
4145030,21-08-2015,OTP Bank Ltd,HU,,8.0048189,11.411981
4145030,28-08-2015,OTP Bank Ltd,HU,,8.0111542,11.421012
4145030,04-09-2015,OTP Bank Ltd,HU,,8.0078926,11.416362
4145030,11-09-2015,OTP Bank Ltd,HU,,8.007472,11.415763
4145030,18-09-2015,OTP Bank Ltd,HU,,8.0066223,11.414552
4145030,25-09-2015,OTP Bank Ltd,HU,,8.0093126,11.418388
4145030,02-10-2015,OTP Bank Ltd,HU,,7.9933376,11.529098
4145030,09-10-2015,OTP Bank Ltd,HU,,7.9895906,11.523692
4145030,16-10-2015,OTP Bank Ltd,HU,,7.9917083,11.526747
4145030,23-10-2015,OTP Bank Ltd,HU,,7.9878278,11.521151
4145030,30-10-2015,OTP Bank Ltd,HU,,7.9867811,11.51964
4145030,06-11-2015,OTP Bank Ltd,HU,,7.9913883,11.526287
4145030,13-11-2015,OTP Bank Ltd,HU,,7.9889765,11.522808
4145030,20-11-2015,OTP Bank Ltd,HU,,7.9855261,11.517831
4145030,27-11-2015,OTP Bank Ltd,HU,,7.9880834,11.521519
4145030,04-12-2015,OTP Bank Ltd,HU,,7.984952,11.517002
4145030,11-12-2015,OTP Bank Ltd,HU,,7.9835191,11.514935
4145030,18-12-2015,OTP Bank Ltd,HU,,7.985805,11.518232
4145030,25-12-2015,OTP Bank Ltd,HU,,7.9878449,11.521174
4145030,01-01-2016,OTP Bank Ltd,HU,,7.973557,11.313708
4145030,08-01-2016,OTP Bank Ltd,HU,,7.9760804,11.317289
4145030,15-01-2016,OTP Bank Ltd,HU,,7.9712124,11.310382
4145030,22-01-2016,OTP Bank Ltd,HU,,7.9717636,11.311163
4145030,29-01-2016,OTP Bank Ltd,HU,,7.9675512,11.305186
4145030,05-02-2016,OTP Bank Ltd,HU,,7.9640007,11.300149
4145030,12-02-2016,OTP Bank Ltd,HU,,7.9621477,11.29752
4145030,19-02-2016,OTP Bank Ltd,HU,,7.9606018,11.295327
4145030,26-02-2016,OTP Bank Ltd,HU,,7.9615235,11.296634
4145030,04-03-2016,OTP Bank Ltd,HU,,7.9638124,11.299882
4145030,11-03-2016,OTP Bank Ltd,HU,,7.9652147,11.301871
